vaccine,ワクチン
pale,青白い、青ざめた、(色が)薄い、薄い色の、弱い、薄暗い、活気のない
depict,(絵画・映画などで)(…を)描く、(…を)(言葉で)描写する、叙述する
intercept,途中で捕らえる、横取りする、傍受する、さえぎる、迎撃する、要撃する、途中で奪う、インターセプトする、(…を)2点間にはさみ取る
event,(重要な)出来事、事件、行事、大事件、意外な出来事、事象、種目、(番組の中の)一番
hello,お(ー)い!、もし!、やあ!、よお!、こんにちは!、もしもし!、おや!、あら!
word,語、単語、(口で言う)言葉、話、談話、言葉、口論、知らせ、便り、消息
toward,…のほうへ、…をさして、…のほうを向いて(いる)、…のほうへ(の)、…に向かって、…に対して(の)、…について(の)、…近く、…ころ、…の助けとなるように
eventually,結局は、ついに(は)、やがて(は)
converges,convergeの三人称単数現在。一点に向かって集まる、集中する
execute,実行する、遂行する、達成する、実施する、執行する、施行する、死刑を執行する、処刑する、演ずる、演奏する
determined,決然とした、断固とした、断固とした意志を表わした、固く決心して
geometry,幾何学
converge,一点に向かって集まる、集中する、(…に)集中する、一点に向けられる、まとまる、収束する、収斂(しゆうれん)する
subtle,微妙な、とらえがたい、名状しがたい、いわく言いがたい、つけにくい、微細な、敏感な、緻密(ちみつ)な、巧みな、巧妙な
fortunately,幸いに、幸運に、幸いにも、幸運にも
extensive,広い、広大な、広範囲にわたる、広範な、粗放の
satisfactory,満足な、申し分のない(ほど良好な)、満足で、得心がいって、普通の、良の、Cの
tune,曲、歌曲、旋律、はっきりした節回し、メロディー、(歌・音律の)正しい調子、(他楽器との)調和、協調、調和
precisely,正確に、精密に、的確に、まさにそのとおり、きちょうめんに
portuguese,ポルトガル(人、語)の
perceived,perceiveの過去形、または過去分詞。(…を)知覚する、認める、(…に)気づく
tend,傾向がある、(…し)がちである、(…の)傾向がある、役立つ、資する、(…に)貢献する、(…に)向かう、向かっていく
fairly,公正に、公平に、公明正大に、まあまあ、まずまず、かなり、顕著な程度に、まったく、まんまと
compile,(編集のために)集める、(資料をまとめて)編集する、機械語に翻訳する、コンパイルする
feed,食物を与える、食物を食べさせる、授乳する、(人手を借りずに)ひとりで食べる、与える、(…の)えさとなる、養う、育てる、飼う、(…で)養う
magnitude,大きいこと、巨大さ、大きさ、大小、重大、重要さ、(恒星の)光度、(光度による)等級、マグニチュード
automobile,自動車
standardizing,standardizeの現在分詞。(…を)標準に合わせる、標準化する
depends,dependの三人称単数現在。(…を)頼る
evolved,evolveの過去形、または過去分詞。徐々に発展する、展開する、進展する
noisier,noisyの比較級。騒々しい、やかましい、ざわついた
dozens of kind of, 数十種類、何十種類も、何十種類もある
interpret,(…を)解釈する、説明する、判断する、(…を)理解する、通訳する、(自己の解釈に基づいて)演奏する
examine,(…を)調査する、検査する、審査する、考察する、調査する、(…を)診察する、試験する、尋問する、審理する
strategies,strategyの複数形。戦略
generalizes,generalizeの三人称単数現在。(漠然と)概括的に論じる、一般論を述べる
fluctuation,高下、変動
incidental,付随的な、付帯的な、(…に)付随して起こる、ありがちで、主要ではないが付随してくる、枝葉的な、偶然の、偶発の
informative,知識を与える、教育的な、有益な
accurately,正確に、精密に
assess,(…と)評価する、査定する、(…と)査定する、性質を評価する、値踏みする、課する
practically,実際的に、実用的に、ほとんど、…も同然、実際には、実際的にみて、事実上
favor,好意、親切、親切な行為、願い、引き立て、愛顧、寵愛(ちようあい)、支持、賛成、偏愛
complexity,複雑さ、複雑なもの
prevent,(…を)起こらないようにする、予防する、防止する、(…が)防ぐ、(…を)妨げてさせない、妨げる、する、止める、差し止める
interrupting,interruptの現在分詞。(…を)さえぎる、中断する
detect,(…に)(…を)見つける、看破する、発見する、検出する、(…が)見つける
allowances,allowanceの三人称単数現在。allowanceの複数形。(定期的に支給する)手当、給与額、…費
allowances,allowanceの三人称単数現在。allowanceの複数形。(定期的に支給する)手当、給与額、…費
halt,立ち止まる、停止する、ためらう、ためらいながら歩く、不完全である
outcomes,outcomeの複数形。結果、成果
stabilize,(…を)固定させる、安定させる
dozens,dozenの複数形。ダース、12(個)
preprocessing,プレ処理;前処理
